treatment,well_nr,sample_nr,date,timepoint,description ,variable,value,std_dev
ABS1,ABS1-5,NA,2022-01-11,T6,ABS1-21d-14d-FASW,wet_weight(g),0.0017,NA
ABS1,ABS1-6,NA,2022-01-11,T6,ABS1-21d-14d-FASW,wet_weight(g),0.0043,NA
ABS2,ABS2-1,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),0.0043,NA
ABS2,ABS2-2,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),0.0111,NA
ABS2,ABS2-3,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),0.0131,NA
ABS2,ABS2-4,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),NA,NA
ABS2,ABS2-5,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),0.0035,NA
ABS2,ABS2-6,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),0.009,NA
ASW,ASW-1,NA,2021-12-28,T4,ASW,wet_weight(g),0.0238,NA
ASW,ASW-2,NA,2021-12-28,T4,ASW,wet_weight(g),0.0402,NA
ASW,ASW-3,NA,2021-12-28,T4,ASW,wet_weight(g),0.036,NA
ASW,ASW-4,NA,2021-12-28,T4,ASW,wet_weight(g),0.0169,NA
ASW,ASW-5,NA,2021-12-28,T4,ASW,wet_weight(g),0.0483,NA
ASW,ASW-6,NA,2021-12-28,T4,ASW,wet_weight(g),0.0392,NA
ABS1,ABS1-1,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.0257,NA
ABS1,ABS1-2,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.0012,NA
ABS1,ABS1-3,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.0055,NA
ABS1,ABS1-4,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.0088,NA
ABS1,ABS1-5,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.0133,NA
ABS1,ABS1-6,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.016,NA
ABS2,ABS2-1,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),0.0267,NA
ABS2,ABS2-2,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),0.0082,NA
ABS2,ABS2-3,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),0.0225,NA
ABS2,ABS2-4,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),NA,NA
ABS2,ABS2-5,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),0.0166,NA
ABS2,ABS2-6,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),0.0396,NA
ASW,ASW-1,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-2,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-3,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-4,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-5,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-6,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-1,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-2,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-3,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-4,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-5,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-6,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-1,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-2,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-3,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-4,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-5,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-6,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-1,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-2,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-3,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-4,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-5,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-6,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ABS1,ABS1-1,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
